Code,region,meanConsumptionPerHousehold,,,,,,,,,,,,,,,,,,,,,"Mean domestic
consumption
(kWh per household)"
,,,,,,,,,,,,,,,,,,,,,,,"3,684.10"
,,,,,,,,,,,,,,,,,,,,,,,"5,048.00"
,,,,,,,,,,,,,,,,,,,,,,,"4,155.20"
,,,,,,,,,,,,,,,,,,,,,,,"3,898.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,374.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,432.20"
,,,,,,,,,,,,,,,,,,,,,,,"3,426.90"
,,,,,,,,,,,,,,,,,,,,,,,"3,671.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,390.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,267.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,384.20"
,,,,,,,,,,,,,,,,,,,,,,,"3,185.20"
,,,,,,,,,,,,,,,,,,,,,,,"3,340.80"
,,,,,,,,,,,,,,,,,,,,,,,"4,213.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,525.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,418.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,388.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,603.50"
,,,,,,,,,,,,,,,,,,,,,,,"4,590.10"
,,,,,,,,,,,,,,,,,,,,,,,"3,433.20"
,,,,,,,,,,,,,,,,,,,,,,,"4,162.90"
,,,,,,,,,,,,,,,,,,,,,,,"3,990.60"
,,,,,,,,,,,,,,,,,,,,,,,"6,831.80"
,,,,,,,,,,,,,,,,,,,,,,,"3,725.70"
,,,,,,,,,,,,,,,,,,,,,,,"5,921.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,417.50"
,,,,,,,,,,,,,,,,,,,,,,,"3,644.30"
,,,,,,,,,,,,,,,,,,,,,,,"4,358.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,768.70"
,,,,,,,,,,,,,,,,,,,,,,,"7,790.70"
,,,,,,,,,,,,,,,,,,,,,,,"4,571.90"
,,,,,,,,,,,,,,,,,,,,,,,"9,259.90"
,,,,,,,,,,,,,,,,,,,,,,,"3,819.70"
,,,,,,,,,,,,,,,,,,,,,,,"3,920.70"
,,,,,,,,,,,,,,,,,,,,,,,"4,507.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,561.40"
,,,,,,,,,,,,,,,,,,,,,,,"5,007.10"
,,,,,,,,,,,,,,,,,,,,,,,"6,475.00"
,,,,,,,,,,,,,,,,,,,,,,,"3,600.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,322.10"
,,,,,,,,,,,,,,,,,,,,,,,"3,255.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,627.10"
,,,,,,,,,,,,,,,,,,,,,,,"4,334.50"
,,,,,,,,,,,,,,,,,,,,,,,"3,872.40"
,,,,,,,,,,,,,,,,,,,,,,,"3,868.30"
,,,,,,,,,,,,,,,,,,,,,,,"3,668.60"
,,,,,,,,,,,,,,,,,,,,,,,"4,945.50"
,,,,,,,,,,,,,,,,,,,,,,,"3,230.60"
,,,,,,,,,,,,,,,,,,,,,,,"3,518.60"
